Russian,English
я,I am
не,not
что,what
в,v
и,and
ты,you
это,this is
на,on
с,with
он,he
мы,we
как,how
да,Yes
мне,to me
у,W.
нет,No
меня,me
так,So
но,but
а,a
его,his
все,all
она,she
тебя,you
о,O
если,if
за,per
бы,would
тебе,you
они,they
чтобы,to
же,Same
есть,there is
просто,simply
из,from
к,To
для,for
ну,Well
когда,when
хорошо,OK
здесь,here
по,on
был,was
знаю,I know
только,only
всё,all
было,It was
вас,you
может,maybe
нас,US
вот,here
от,from
быть,to be
кто,who
будет,will
почему,why
вам,to you
их,their
очень,very
могу,can
уже,already
спасибо,thanks
или,or
нам,US
еще,yet
там,there
нужно,necessary
сейчас,now
где,where
чем,how
хочу,want
ничего,nothing
этого,of this
была,was
мой,my
ее,her
ладно,OK
знаешь,you know
п,NS
до,before
этом,it is
теперь,now
думаю,think
больше,more
её,her
со,SO
раз,once
ему,his
надо,necessary
время,time
этот,this
ли,Li
ещё,yet
пока,while
даже,even
привет,Hey
сказал,said
себя,myself
должен,should
тоже,too
хочешь,want
давай,let's
что-то,something
никогда,never
эй,Hey
того,Togo
тогда,then
него,His
ни,n.
тут,here
были,were
конечно,Certainly
правда,truth
об,about
моя,my
пожалуйста,please
тобой,you
сказать,to tell
сегодня,today
один,one
лучше,better
можешь,can
сюда,here
мной,me
значит,means
сделать,do
всегда,always
дело,a business
можно,can
ей,her
должны,must
порядке,order
без,without
день,day
том,volume
буду,will
делать,make
хотел,Wanted
чего,what
эти,these
много,many
после,after
этим,that
всего,Total
во,in
твой,is yours
ним,NIM
лет,years
боже,God
них,them
сэр,Sir
ведь,after all
мистер,Mister
жизнь,life
потом,after
ней,her
такой,such
который,which the
всех,All
через,across
им,them
возможно,Maybe
немного,Little
такое,that
слишком,too much
себе,To yourself
зачем,why
должна,should
моей,My
люди,people
знаете,know
этой,This
думаешь,Think
свою,my
точно,for sure
человек,human
твоя,yours
под,under
сказала,said
назад,back
из-за,due to
эту,This
можем,Can
случилось,It happened
мама,Mother
мог,Could
вместе,together
отец,father
сделал,did
мои,my
кажется,seems
друг,friend
куда,where
никто,no one
эта,this
которые,which
два,two
тот,that
сколько,how
понимаю,Understand
снова,again
жизни,Life
нравится,Like
людей,of people
помочь,help
видел,saw
люблю,I love
хочет,wants
место,a place
знать,know
кто-то,somebody
прости,sorry
отлично,Great
похоже,it seems
парень,guy
домой,home
всем,All
деньги,money
иди,Idi
времени,of time
дома,at home
именно,exactly
доктор,doctor
думал,thought
говорил,spoke
делаешь,do
будем,We will
прямо,directly
стоит,costs
поговорить,talk
найти,find
разве,not
слушай,listen
своей,his
лишь,only
ага,yeah
можете,You can
простите,sorry
хотела,wanted
сам,myself
что-нибудь,something
тем,thread
будешь,You will be
прошу,I beg
три,three
деле,business
хотите,want to
говорить,talk
давайте,Let's
совсем,at all
знал,knew
знает,knows
какой,which
моего,mine
скажи,tell
дом,House
дела,Affairs
вами,you
свои,their
ж,J.
говорит,is talking
несколько,several
должно,must
про,pro
ваш,your
происходит,occurs
жаль,it's a pity
туда,there
действительно,really
папа,dad
завтра,tomorrow
оно,it
черт,heck
одна,one
перед,front
наш,our
уверен,sure
отсюда,From here
нужна,Need
самом,very
тех,those
свой,mine
мою,Mo.
кого,whom
верно,right
работу,Work
каждый,each
твоей,Your
будут,will be
хватит,enough
понял,understood
нее,HERE
уж,О.
имя,name
против,against
кое-что,something
пор,pore
чём,how
раньше,earlier
говорю,I say
более,more
надеюсь,hope
итак,so
при,at
ваша,yours
вообще,generally
пошли,went
мать,mother
нельзя,it is forbidden
наверное,maybe
нами,us
твои,yours
могли,Could
дай,give
ради,RF
всю,All
ребята,guys
ко,NS
хотя,although
понимаешь,understand
